City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,vadso,70.0744,29.7487,-4.91,93,40,5.14,NO,1699832875
1,pudozh,61.8099,36.5345,2.75,98,100,2.68,RU,1699833064
2,port-aux-francais,-49.35,70.2167,4.86,83,100,5.48,TF,1699832863
3,puerto ayora,-0.7393,-90.3518,24.75,90,45,1.79,EC,1699832837
4,papatowai,-46.5619,169.4708,12.6,94,100,0.81,NZ,1699832866
5,olonkinbyen,70.9221,-8.7187,-3.36,67,99,2.25,SJ,1699833068
6,tiksi,71.6872,128.8694,-16.03,89,100,7.21,RU,1699832826
7,isafjordur,66.0755,-23.124,4.13,75,100,5.16,IS,1699833070
8,filey,54.21,-0.2892,7.82,93,100,4.02,GB,1699833071
9,howrah,22.5892,88.3103,21.0,88,28,2.06,IN,1699833071
10,stanley,54.868,-1.6985,6.4,94,75,4.63,GB,1699833072
11,colonia,50.9333,6.95,7.08,88,40,2.57,DE,1699832980
12,ak-dovurak,51.1833,90.6,-13.83,94,100,0.45,RU,1699833074
13,sosnytsya,51.5239,32.4999,6.0,88,100,9.35,UA,1699833074
14,umm kaddadah,13.6017,26.6876,28.59,29,78,3.37,SD,1699833075
15,santa elena de uairen,4.6167,-61.1333,21.77,81,87,1.45,VE,1699833076
16,saint-pierre,-21.3393,55.4781,19.82,64,0,3.6,RE,1699833077
17,luanda,-8.8368,13.2343,26.0,83,75,2.57,AO,1699832953
18,nsanje,-16.92,35.262,23.94,56,2,1.73,MW,1699833078
19,midvagur,62.0511,-7.1939,6.46,70,75,4.12,FO,1699833079
20,khanty-mansiysk,61.0042,69.0019,0.06,86,75,2.0,RU,1699833080
21,hawaiian paradise park,19.5933,-154.9731,26.73,82,20,2.57,US,1699833082
22,quesnel,52.9999,-122.5029,6.28,49,75,6.17,CA,1699833064
23,lihue,21.9789,-159.3672,28.58,75,40,9.26,US,1699833083
24,nurota,40.5614,65.6886,6.22,41,36,3.13,UZ,1699833084
25,wad medani,14.4012,33.5199,30.5,31,35,3.69,SD,1699832914
26,rongelap,11.1635,166.8941,27.93,82,100,8.68,MH,1699832898
27,albany,42.6001,-73.9662,0.37,74,4,0.04,US,1699833086
28,vila franca do campo,37.7167,-25.4333,20.23,93,100,5.86,PT,1699833087
29,bredasdorp,-34.5322,20.0403,12.72,88,0,0.2,ZA,1699833088
